Country,MetricYear,Value,Organism,Drug
Italy,N_2015,5592.0,Escherichia coli,carbapenems
United Kingdom,N_2015,5497.0,Escherichia coli,carbapenems
Greece,N_2015,1215.0,Escherichia coli,carbapenems
Belgium,%R_2015,0.0,Escherichia coli,carbapenems
Bulgaria,%R_2015,0.0,Escherichia coli,carbapenems
Croatia,%R_2015,0.0,Escherichia coli,carbapenems
Cyprus,%R_2015,0.0,Escherichia coli,carbapenems
Czech Republic,%R_2015,0.0,Escherichia coli,carbapenems
Estonia,%R_2015,0.0,Escherichia coli,carbapenems
Finland,%R_2015,0.0,Escherichia coli,carbapenems
Hungary,%R_2015,0.0,Escherichia coli,carbapenems
Iceland,%R_2015,0.0,Escherichia coli,carbapenems
Latvia,%R_2015,0.0,Escherichia coli,carbapenems
Lithuania,%R_2015,0.0,Escherichia coli,carbapenems
Luxembourg,%R_2015,0.0,Escherichia coli,carbapenems
Malta,%R_2015,0.0,Escherichia coli,carbapenems
Slovakia,%R_2015,0.0,Escherichia coli,carbapenems
Slovenia,%R_2015,0.0,Escherichia coli,carbapenems
Austria,%R_2015,,Escherichia coli,carbapenems
Denmark,%R_2015,,Escherichia coli,carbapenems
France,%R_2015,,Escherichia coli,carbapenems
Germany,%R_2015,,Escherichia coli,carbapenems
Ireland,%R_2015,,Escherichia coli,carbapenems
Netherlands,%R_2015,,Escherichia coli,carbapenems
Norway,%R_2015,,Escherichia coli,carbapenems
Spain,%R_2015,,Escherichia coli,carbapenems
Poland,%R_2015,0.1,Escherichia coli,carbapenems
Portugal,%R_2015,0.1,Escherichia coli,carbapenems
Sweden,%R_2015,0.1,Escherichia coli,carbapenems
Italy,%R_2015,0.2,Escherichia coli,carbapenems
United Kingdom,%R_2015,0.3,Escherichia coli,carbapenems
Greece,%R_2015,1.2,Escherichia coli,carbapenems
Iceland,N_2012,134.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,N_2012,2835.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,N_2012,4675.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,N_2012,2285.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,N_2012,5534.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,N_2012,2993.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,N_2012,3573.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,N_2012,4179.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,N_2012,2998.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,N_2012,5655.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,N_2012,454.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,N_2012,5577.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,N_2012,301.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,N_2012,334.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,N_2012,2282.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,N_2012,5651.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,N_2012,990.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,N_2012,1382.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,N_2012,885.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,N_2012,2809.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,N_2012,216.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,N_2012,2151.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,N_2012,1168.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,N_2012,176.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,N_2012,152.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,N_2012,1368.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,N_2012,219.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,N_2012,2667.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,N_2012,692.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,%R_2012,1.5,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,%R_2012,1.9,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,%R_2012,1.8,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,%R_2012,2.6,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,%R_2012,1.8,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,%R_2012,3.1,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,%R_2012,2.3,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,%R_2012,3.2,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,%R_2012,2.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,%R_2012,3.3,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,%R_2012,1.3,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,%R_2012,4.2,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,%R_2012,1.7,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,%R_2012,2.7,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,%R_2012,3.6,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,%R_2012,5.8,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,%R_2012,6.1,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,%R_2012,10.6,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,%R_2012,2.7,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,%R_2012,4.3,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,%R_2012,7.4,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,%R_2012,9.2,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,%R_2012,5.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,%R_2012,14.8,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,%R_2012,6.6,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,%R_2012,10.7,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,%R_2012,16.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,%R_2012,14.3,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,%R_2012,13.4,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,N_2013,116.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,N_2013,2971.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,N_2013,4722.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,N_2013,2377.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,N_2013,7094.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,N_2013,3457.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,N_2013,4258.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,N_2013,5282.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,N_2013,3138.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,N_2013,10068.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,N_2013,428.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,N_2013,6535.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,N_2013,335.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,N_2013,283.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,N_2013,2477.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,N_2013,5921.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,N_2013,978.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,N_2013,1418.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,N_2013,1003.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,N_2013,2953.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,N_2013,248.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,N_2013,2676.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,N_2013,1224.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,N_2013,162.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,N_2013,132.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,N_2013,1234.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,N_2013,187.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,N_2013,3724.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,N_2013,806.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,%R_2013,0.9,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,%R_2013,2.5,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,%R_2013,1.9,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,%R_2013,2.2,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,%R_2013,2.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,%R_2013,3.2,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,%R_2013,3.1,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,%R_2013,2.7,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,%R_2013,2.7,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,%R_2013,3.2,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,%R_2013,1.9,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,%R_2013,4.4,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,%R_2013,3.3,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,%R_2013,2.1,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,%R_2013,4.7,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,%R_2013,5.8,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,%R_2013,5.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,%R_2013,11.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,%R_2013,3.5,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,%R_2013,4.9,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,%R_2013,5.2,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,%R_2013,8.1,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,%R_2013,4.5,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,%R_2013,20.4,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,%R_2013,3.8,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,%R_2013,10.3,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,%R_2013,18.7,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,%R_2013,12.5,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,%R_2013,17.2,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,N_2014,141.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,N_2014,3413.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,N_2014,6425.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,N_2014,4406.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,N_2014,4203.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,N_2014,3787.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,N_2014,4609.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,N_2014,6158.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,N_2014,2045.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,N_2014,10299.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,N_2014,582.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,N_2014,6191.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,N_2014,404.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,N_2014,367.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,N_2014,2689.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,N_2014,5814.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,N_2014,1026.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,N_2014,1599.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,N_2014,1070.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,N_2014,2976.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,N_2014,279.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,N_2014,4989.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,N_2014,1216.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,N_2014,153.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,N_2014,163.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,N_2014,1102.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,N_2014,188.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,N_2014,3428.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,N_2014,887.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,%R_2014,1.4,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,%R_2014,2.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,%R_2014,2.1,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,%R_2014,1.9,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,%R_2014,2.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,%R_2014,2.2,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,%R_2014,2.6,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,%R_2014,3.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,%R_2014,3.9,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,%R_2014,3.5,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,%R_2014,2.6,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,%R_2014,4.4,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,%R_2014,3.5,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,%R_2014,3.8,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,%R_2014,4.7,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,%R_2014,5.3,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,%R_2014,5.6,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,%R_2014,8.2,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,%R_2014,6.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,%R_2014,6.4,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,%R_2014,6.8,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,%R_2014,8.2,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,%R_2014,7.1,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,%R_2014,13.1,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,%R_2014,2.5,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,%R_2014,10.7,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,%R_2014,20.2,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,%R_2014,13.7,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,%R_2014,17.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,N_2015,162.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,N_2015,3298.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,N_2015,5377.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,N_2015,4531.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,N_2015,5257.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,N_2015,4103.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,N_2015,4785.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,N_2015,8707.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,N_2015,2285.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,N_2015,10988.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,N_2015,581.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,N_2015,5119.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,N_2015,233.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,N_2015,347.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,N_2015,2621.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,N_2015,6416.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,N_2015,1532.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,N_2015,2015.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,N_2015,1000.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,N_2015,3165.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,N_2015,258.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,N_2015,5366.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,N_2015,1325.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,N_2015,123.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,N_2015,191.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,N_2015,1187.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,N_2015,182.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,N_2015,5389.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,N_2015,891.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Iceland,%R_2015,0.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Norway,%R_2015,1.9,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Netherlands,%R_2015,2.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Denmark,%R_2015,2.5,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Sweden,%R_2015,2.5,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Finland,%R_2015,2.6,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Austria,%R_2015,2.9,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Germany,%R_2015,3.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Belgium,%R_2015,3.5,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
France,%R_2015,3.9,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Lithuania,%R_2015,4.3,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
United Kingdom,%R_2015,4.5,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Estonia,%R_2015,5.2,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Luxembourg,%R_2015,5.2,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Ireland,%R_2015,5.4,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Spain,%R_2015,5.5,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Poland,%R_2015,6.1,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Hungary,%R_2015,6.7,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Croatia,%R_2015,6.9,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Czech Republic,%R_2015,6.9,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Malta,%R_2015,7.0,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Portugal,%R_2015,7.6,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovenia,%R_2015,8.1,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,%R_2015,9.8,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Latvia,%R_2015,10.5,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Greece,%R_2015,10.7,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Bulgaria,%R_2015,12.6,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Italy,%R_2015,14.6,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Slovakia,%R_2015,17.1,Escherichia coli,"fluoroquinolones, third-generation cephalosporins and aminoglycosides"
Cyprus,N_2012,77.0,Enterococcus faecalis,gentamicin
Norway,N_2012,123.0,Enterococcus faecalis,gentamicin
France,N_2012,1528.0,Enterococcus faecalis,gentamicin
Sweden,N_2012,791.0,Enterococcus faecalis,gentamicin
Belgium,N_2012,395.0,Enterococcus faecalis,gentamicin
Greece,N_2012,667.0,Enterococcus faecalis,gentamicin
Iceland,N_2012,17.0,Enterococcus faecalis,gentamicin
Luxembourg,N_2012,45.0,Enterococcus faecalis,gentamicin
Netherlands,N_2012,287.0,Enterococcus faecalis,gentamicin
Denmark,N_2012,112.0,Enterococcus faecalis,gentamicin
Estonia,N_2012,19.0,Enterococcus faecalis,gentamicin
Malta,N_2012,25.0,Enterococcus faecalis,gentamicin
Ireland,N_2012,279.0,Enterococcus faecalis,gentamicin
Germany,N_2012,680.0,Enterococcus faecalis,gentamicin
Slovenia,N_2012,129.0,Enterococcus faecalis,gentamicin
Portugal,N_2012,347.0,Enterococcus faecalis,gentamicin
Austria,N_2012,425.0,Enterococcus faecalis,gentamicin
Croatia,N_2012,152.0,Enterococcus faecalis,gentamicin
Latvia,N_2012,55.0,Enterococcus faecalis,gentamicin
Czech Republic,N_2012,581.0,Enterococcus faecalis,gentamicin
Spain,N_2012,878.0,Enterococcus faecalis,gentamicin
Bulgaria,N_2012,78.0,Enterococcus faecalis,gentamicin
Lithuania,N_2012,59.0,Enterococcus faecalis,gentamicin
Hungary,N_2012,452.0,Enterococcus faecalis,gentamicin
Poland,N_2012,122.0,Enterococcus faecalis,gentamicin
Italy,N_2012,301.0,Enterococcus faecalis,gentamicin
