Country,Value,Metric,Year,Organism,Drug
Denmark,8.1,%R,2013,Escherichia coli,third-generation cephalosporins
Austria,9.8,%R,2013,Escherichia coli,third-generation cephalosporins
Belgium,8.0,%R,2013,Escherichia coli,third-generation cephalosporins
Germany,10.7,%R,2013,Escherichia coli,third-generation cephalosporins
France,9.5,%R,2013,Escherichia coli,third-generation cephalosporins
Malta,8.9,%R,2013,Escherichia coli,third-generation cephalosporins
United Kingdom,14.7,%R,2013,Escherichia coli,third-generation cephalosporins
Estonia,7.4,%R,2013,Escherichia coli,third-generation cephalosporins
Ireland,10.6,%R,2013,Escherichia coli,third-generation cephalosporins
Spain,13.3,%R,2013,Escherichia coli,third-generation cephalosporins
Poland,10.9,%R,2013,Escherichia coli,third-generation cephalosporins
Croatia,8.8,%R,2013,Escherichia coli,third-generation cephalosporins
Luxembourg,10.6,%R,2013,Escherichia coli,third-generation cephalosporins
Slovenia,8.7,%R,2013,Escherichia coli,third-generation cephalosporins
Czech Republic,13.1,%R,2013,Escherichia coli,third-generation cephalosporins
Lithuania,7.6,%R,2013,Escherichia coli,third-generation cephalosporins
Portugal,14.9,%R,2013,Escherichia coli,third-generation cephalosporins
Hungary,18.9,%R,2013,Escherichia coli,third-generation cephalosporins
Latvia,14.0,%R,2013,Escherichia coli,third-generation cephalosporins
Greece,17.2,%R,2013,Escherichia coli,third-generation cephalosporins
Cyprus,38.9,%R,2013,Escherichia coli,third-generation cephalosporins
Slovakia,29.7,%R,2013,Escherichia coli,third-generation cephalosporins
Italy,26.2,%R,2013,Escherichia coli,third-generation cephalosporins
Bulgaria,39.6,%R,2013,Escherichia coli,third-generation cephalosporins
Iceland,152.0,N,2014,Escherichia coli,third-generation cephalosporins
Netherlands,6497.0,N,2014,Escherichia coli,third-generation cephalosporins
Norway,3421.0,N,2014,Escherichia coli,third-generation cephalosporins
Finland,4009.0,N,2014,Escherichia coli,third-generation cephalosporins
Sweden,6546.0,N,2014,Escherichia coli,third-generation cephalosporins
Denmark,4410.0,N,2014,Escherichia coli,third-generation cephalosporins
Austria,4739.0,N,2014,Escherichia coli,third-generation cephalosporins
Belgium,2802.0,N,2014,Escherichia coli,third-generation cephalosporins
Germany,6246.0,N,2014,Escherichia coli,third-generation cephalosporins
France,10349.0,N,2014,Escherichia coli,third-generation cephalosporins
Malta,279.0,N,2014,Escherichia coli,third-generation cephalosporins
United Kingdom,6221.0,N,2014,Escherichia coli,third-generation cephalosporins
Estonia,410.0,N,2014,Escherichia coli,third-generation cephalosporins
Ireland,2691.0,N,2014,Escherichia coli,third-generation cephalosporins
Spain,5821.0,N,2014,Escherichia coli,third-generation cephalosporins
Poland,1085.0,N,2014,Escherichia coli,third-generation cephalosporins
Croatia,1079.0,N,2014,Escherichia coli,third-generation cephalosporins
Luxembourg,368.0,N,2014,Escherichia coli,third-generation cephalosporins
Slovenia,1216.0,N,2014,Escherichia coli,third-generation cephalosporins
Czech Republic,2978.0,N,2014,Escherichia coli,third-generation cephalosporins
Lithuania,594.0,N,2014,Escherichia coli,third-generation cephalosporins
Portugal,5024.0,N,2014,Escherichia coli,third-generation cephalosporins
Hungary,1619.0,N,2014,Escherichia coli,third-generation cephalosporins
Latvia,165.0,N,2014,Escherichia coli,third-generation cephalosporins
Greece,1122.0,N,2014,Escherichia coli,third-generation cephalosporins
Cyprus,153.0,N,2014,Escherichia coli,third-generation cephalosporins
Slovakia,889.0,N,2014,Escherichia coli,third-generation cephalosporins
Italy,3694.0,N,2014,Escherichia coli,third-generation cephalosporins
Bulgaria,218.0,N,2014,Escherichia coli,third-generation cephalosporins
Iceland,3.3,%R,2014,Escherichia coli,third-generation cephalosporins
Netherlands,5.7,%R,2014,Escherichia coli,third-generation cephalosporins
Norway,5.8,%R,2014,Escherichia coli,third-generation cephalosporins
Finland,5.4,%R,2014,Escherichia coli,third-generation cephalosporins
Sweden,5.6,%R,2014,Escherichia coli,third-generation cephalosporins
Denmark,7.0,%R,2014,Escherichia coli,third-generation cephalosporins
Austria,9.4,%R,2014,Escherichia coli,third-generation cephalosporins
Belgium,9.7,%R,2014,Escherichia coli,third-generation cephalosporins
Germany,10.5,%R,2014,Escherichia coli,third-generation cephalosporins
France,9.9,%R,2014,Escherichia coli,third-generation cephalosporins
Malta,10.8,%R,2014,Escherichia coli,third-generation cephalosporins
United Kingdom,10.3,%R,2014,Escherichia coli,third-generation cephalosporins
Estonia,9.3,%R,2014,Escherichia coli,third-generation cephalosporins
Ireland,10.7,%R,2014,Escherichia coli,third-generation cephalosporins
Spain,12.3,%R,2014,Escherichia coli,third-generation cephalosporins
Poland,10.5,%R,2014,Escherichia coli,third-generation cephalosporins
Croatia,10.8,%R,2014,Escherichia coli,third-generation cephalosporins
Luxembourg,12.0,%R,2014,Escherichia coli,third-generation cephalosporins
Slovenia,12.7,%R,2014,Escherichia coli,third-generation cephalosporins
Czech Republic,14.0,%R,2014,Escherichia coli,third-generation cephalosporins
Lithuania,8.1,%R,2014,Escherichia coli,third-generation cephalosporins
Portugal,16.4,%R,2014,Escherichia coli,third-generation cephalosporins
Hungary,16.4,%R,2014,Escherichia coli,third-generation cephalosporins
Latvia,10.9,%R,2014,Escherichia coli,third-generation cephalosporins
Greece,21.0,%R,2014,Escherichia coli,third-generation cephalosporins
Cyprus,28.8,%R,2014,Escherichia coli,third-generation cephalosporins
Slovakia,31.8,%R,2014,Escherichia coli,third-generation cephalosporins
Italy,28.7,%R,2014,Escherichia coli,third-generation cephalosporins
Bulgaria,40.4,%R,2014,Escherichia coli,third-generation cephalosporins
Iceland,173.0,N,2015,Escherichia coli,third-generation cephalosporins
Netherlands,5378.0,N,2015,Escherichia coli,third-generation cephalosporins
Norway,3301.0,N,2015,Escherichia coli,third-generation cephalosporins
Finland,4342.0,N,2015,Escherichia coli,third-generation cephalosporins
Sweden,5995.0,N,2015,Escherichia coli,third-generation cephalosporins
Denmark,4561.0,N,2015,Escherichia coli,third-generation cephalosporins
Austria,4900.0,N,2015,Escherichia coli,third-generation cephalosporins
Belgium,2593.0,N,2015,Escherichia coli,third-generation cephalosporins
Germany,8724.0,N,2015,Escherichia coli,third-generation cephalosporins
France,11051.0,N,2015,Escherichia coli,third-generation cephalosporins
Malta,258.0,N,2015,Escherichia coli,third-generation cephalosporins
United Kingdom,5169.0,N,2015,Escherichia coli,third-generation cephalosporins
Estonia,246.0,N,2015,Escherichia coli,third-generation cephalosporins
Ireland,2638.0,N,2015,Escherichia coli,third-generation cephalosporins
Spain,6428.0,N,2015,Escherichia coli,third-generation cephalosporins
Poland,1610.0,N,2015,Escherichia coli,third-generation cephalosporins
Croatia,1046.0,N,2015,Escherichia coli,third-generation cephalosporins
Luxembourg,347.0,N,2015,Escherichia coli,third-generation cephalosporins
Slovenia,1326.0,N,2015,Escherichia coli,third-generation cephalosporins
Czech Republic,3172.0,N,2015,Escherichia coli,third-generation cephalosporins
Lithuania,581.0,N,2015,Escherichia coli,third-generation cephalosporins
Portugal,5376.0,N,2015,Escherichia coli,third-generation cephalosporins
Hungary,2026.0,N,2015,Escherichia coli,third-generation cephalosporins
Latvia,201.0,N,2015,Escherichia coli,third-generation cephalosporins
Greece,1215.0,N,2015,Escherichia coli,third-generation cephalosporins
Cyprus,123.0,N,2015,Escherichia coli,third-generation cephalosporins
Slovakia,893.0,N,2015,Escherichia coli,third-generation cephalosporins
Italy,5592.0,N,2015,Escherichia coli,third-generation cephalosporins
Bulgaria,205.0,N,2015,Escherichia coli,third-generation cephalosporins
Iceland,1.7,%R,2015,Escherichia coli,third-generation cephalosporins
Netherlands,5.7,%R,2015,Escherichia coli,third-generation cephalosporins
Norway,6.0,%R,2015,Escherichia coli,third-generation cephalosporins
Finland,6.1,%R,2015,Escherichia coli,third-generation cephalosporins
Sweden,6.2,%R,2015,Escherichia coli,third-generation cephalosporins
Denmark,7.5,%R,2015,Escherichia coli,third-generation cephalosporins
Austria,9.7,%R,2015,Escherichia coli,third-generation cephalosporins
Belgium,9.7,%R,2015,Escherichia coli,third-generation cephalosporins
Germany,10.4,%R,2015,Escherichia coli,third-generation cephalosporins
France,11.0,%R,2015,Escherichia coli,third-generation cephalosporins
Malta,11.2,%R,2015,Escherichia coli,third-generation cephalosporins
United Kingdom,11.3,%R,2015,Escherichia coli,third-generation cephalosporins
Estonia,11.4,%R,2015,Escherichia coli,third-generation cephalosporins
Ireland,11.4,%R,2015,Escherichia coli,third-generation cephalosporins
Spain,11.6,%R,2015,Escherichia coli,third-generation cephalosporins
Poland,11.9,%R,2015,Escherichia coli,third-generation cephalosporins
Croatia,12.5,%R,2015,Escherichia coli,third-generation cephalosporins
Luxembourg,12.7,%R,2015,Escherichia coli,third-generation cephalosporins
Slovenia,13.7,%R,2015,Escherichia coli,third-generation cephalosporins
Czech Republic,14.5,%R,2015,Escherichia coli,third-generation cephalosporins
Lithuania,16.0,%R,2015,Escherichia coli,third-generation cephalosporins
Portugal,16.1,%R,2015,Escherichia coli,third-generation cephalosporins
Hungary,16.7,%R,2015,Escherichia coli,third-generation cephalosporins
Latvia,17.9,%R,2015,Escherichia coli,third-generation cephalosporins
Greece,19.8,%R,2015,Escherichia coli,third-generation cephalosporins
Cyprus,28.5,%R,2015,Escherichia coli,third-generation cephalosporins
Slovakia,30.0,%R,2015,Escherichia coli,third-generation cephalosporins
Italy,30.1,%R,2015,Escherichia coli,third-generation cephalosporins
Bulgaria,38.5,%R,2015,Escherichia coli,third-generation cephalosporins
Iceland,138.0,N,2012,Escherichia coli,aminoglycosides
Finland,2993.0,N,2012,Escherichia coli,aminoglycosides
Netherlands,4706.0,N,2012,Escherichia coli,aminoglycosides
Norway,3023.0,N,2012,Escherichia coli,aminoglycosides
Sweden,5537.0,N,2012,Escherichia coli,aminoglycosides
Denmark,3687.0,N,2012,Escherichia coli,aminoglycosides
Austria,3702.0,N,2012,Escherichia coli,aminoglycosides
Germany,4190.0,N,2012,Escherichia coli,aminoglycosides
France,5749.0,N,2012,Escherichia coli,aminoglycosides
Belgium,3010.0,N,2012,Escherichia coli,aminoglycosides
Luxembourg,334.0,N,2012,Escherichia coli,aminoglycosides
Estonia,304.0,N,2012,Escherichia coli,aminoglycosides
United Kingdom,6390.0,N,2012,Escherichia coli,aminoglycosides
Lithuania,460.0,N,2012,Escherichia coli,aminoglycosides
Poland,1025.0,N,2012,Escherichia coli,aminoglycosides
Czech Republic,2812.0,N,2012,Escherichia coli,aminoglycosides
Malta,216.0,N,2012,Escherichia coli,aminoglycosides
Ireland,2375.0,N,2012,Escherichia coli,aminoglycosides
Croatia,901.0,N,2012,Escherichia coli,aminoglycosides
Slovenia,1168.0,N,2012,Escherichia coli,aminoglycosides
Hungary,1404.0,N,2012,Escherichia coli,aminoglycosides
Cyprus,176.0,N,2012,Escherichia coli,aminoglycosides
Portugal,2154.0,N,2012,Escherichia coli,aminoglycosides
Latvia,154.0,N,2012,Escherichia coli,aminoglycosides
Spain,5675.0,N,2012,Escherichia coli,aminoglycosides
Greece,1372.0,N,2012,Escherichia coli,aminoglycosides
Bulgaria,219.0,N,2012,Escherichia coli,aminoglycosides
Italy,2916.0,N,2012,Escherichia coli,aminoglycosides
Slovakia,694.0,N,2012,Escherichia coli,aminoglycosides
Iceland,3.6,%R,2012,Escherichia coli,aminoglycosides
Finland,6.1,%R,2012,Escherichia coli,aminoglycosides
Netherlands,7.2,%R,2012,Escherichia coli,aminoglycosides
Norway,5.8,%R,2012,Escherichia coli,aminoglycosides
Sweden,5.8,%R,2012,Escherichia coli,aminoglycosides
Denmark,7.3,%R,2012,Escherichia coli,aminoglycosides
Austria,6.3,%R,2012,Escherichia coli,aminoglycosides
Germany,7.1,%R,2012,Escherichia coli,aminoglycosides
France,8.1,%R,2012,Escherichia coli,aminoglycosides
Belgium,7.3,%R,2012,Escherichia coli,aminoglycosides
Luxembourg,6.3,%R,2012,Escherichia coli,aminoglycosides
Estonia,7.6,%R,2012,Escherichia coli,aminoglycosides
United Kingdom,8.6,%R,2012,Escherichia coli,aminoglycosides
Lithuania,9.6,%R,2012,Escherichia coli,aminoglycosides
Poland,12.1,%R,2012,Escherichia coli,aminoglycosides
Czech Republic,8.2,%R,2012,Escherichia coli,aminoglycosides
Malta,13.0,%R,2012,Escherichia coli,aminoglycosides
Ireland,10.7,%R,2012,Escherichia coli,aminoglycosides
Croatia,7.0,%R,2012,Escherichia coli,aminoglycosides
Slovenia,8.4,%R,2012,Escherichia coli,aminoglycosides
Hungary,17.1,%R,2012,Escherichia coli,aminoglycosides
Cyprus,21.0,%R,2012,Escherichia coli,aminoglycosides
Portugal,16.2,%R,2012,Escherichia coli,aminoglycosides
Latvia,11.7,%R,2012,Escherichia coli,aminoglycosides
Spain,15.6,%R,2012,Escherichia coli,aminoglycosides
Greece,17.8,%R,2012,Escherichia coli,aminoglycosides
Bulgaria,26.5,%R,2012,Escherichia coli,aminoglycosides
Italy,22.3,%R,2012,Escherichia coli,aminoglycosides
Slovakia,20.7,%R,2012,Escherichia coli,aminoglycosides
Iceland,121.0,N,2013,Escherichia coli,aminoglycosides
Finland,3561.0,N,2013,Escherichia coli,aminoglycosides
Netherlands,4741.0,N,2013,Escherichia coli,aminoglycosides
Norway,3079.0,N,2013,Escherichia coli,aminoglycosides
Sweden,7100.0,N,2013,Escherichia coli,aminoglycosides
Denmark,3887.0,N,2013,Escherichia coli,aminoglycosides
Austria,4367.0,N,2013,Escherichia coli,aminoglycosides
Germany,5337.0,N,2013,Escherichia coli,aminoglycosides
France,10156.0,N,2013,Escherichia coli,aminoglycosides
Belgium,3309.0,N,2013,Escherichia coli,aminoglycosides
Luxembourg,299.0,N,2013,Escherichia coli,aminoglycosides
Estonia,341.0,N,2013,Escherichia coli,aminoglycosides
United Kingdom,7166.0,N,2013,Escherichia coli,aminoglycosides
Lithuania,429.0,N,2013,Escherichia coli,aminoglycosides
Poland,1049.0,N,2013,Escherichia coli,aminoglycosides
Czech Republic,2957.0,N,2013,Escherichia coli,aminoglycosides
Malta,248.0,N,2013,Escherichia coli,aminoglycosides
Ireland,2481.0,N,2013,Escherichia coli,aminoglycosides
Croatia,1016.0,N,2013,Escherichia coli,aminoglycosides
Slovenia,1224.0,N,2013,Escherichia coli,aminoglycosides
Hungary,1427.0,N,2013,Escherichia coli,aminoglycosides
Cyprus,162.0,N,2013,Escherichia coli,aminoglycosides
Portugal,2684.0,N,2013,Escherichia coli,aminoglycosides
Latvia,134.0,N,2013,Escherichia coli,aminoglycosides
Spain,5929.0,N,2013,Escherichia coli,aminoglycosides
Greece,1239.0,N,2013,Escherichia coli,aminoglycosides
Bulgaria,187.0,N,2013,Escherichia coli,aminoglycosides
Italy,3802.0,N,2013,Escherichia coli,aminoglycosides
Slovakia,807.0,N,2013,Escherichia coli,aminoglycosides
Iceland,4.1,%R,2013,Escherichia coli,aminoglycosides
Finland,6.5,%R,2013,Escherichia coli,aminoglycosides
Netherlands,6.2,%R,2013,Escherichia coli,aminoglycosides
Norway,6.4,%R,2013,Escherichia coli,aminoglycosides
Sweden,6.0,%R,2013,Escherichia coli,aminoglycosides
Denmark,6.5,%R,2013,Escherichia coli,aminoglycosides
Austria,7.2,%R,2013,Escherichia coli,aminoglycosides
Germany,7.0,%R,2013,Escherichia coli,aminoglycosides
France,7.8,%R,2013,Escherichia coli,aminoglycosides
Belgium,7.3,%R,2013,Escherichia coli,aminoglycosides
Luxembourg,7.0,%R,2013,Escherichia coli,aminoglycosides
Estonia,7.3,%R,2013,Escherichia coli,aminoglycosides
United Kingdom,9.0,%R,2013,Escherichia coli,aminoglycosides
Lithuania,10.7,%R,2013,Escherichia coli,aminoglycosides
Poland,10.7,%R,2013,Escherichia coli,aminoglycosides
Czech Republic,9.1,%R,2013,Escherichia coli,aminoglycosides
Malta,9.3,%R,2013,Escherichia coli,aminoglycosides
Ireland,11.2,%R,2013,Escherichia coli,aminoglycosides
Croatia,7.7,%R,2013,Escherichia coli,aminoglycosides
Slovenia,9.3,%R,2013,Escherichia coli,aminoglycosides
Hungary,17.0,%R,2013,Escherichia coli,aminoglycosides
Cyprus,24.7,%R,2013,Escherichia coli,aminoglycosides
Portugal,15.2,%R,2013,Escherichia coli,aminoglycosides
Latvia,5.2,%R,2013,Escherichia coli,aminoglycosides
Spain,15.3,%R,2013,Escherichia coli,aminoglycosides
Greece,16.9,%R,2013,Escherichia coli,aminoglycosides
Bulgaria,31.0,%R,2013,Escherichia coli,aminoglycosides
Italy,19.0,%R,2013,Escherichia coli,aminoglycosides
Slovakia,24.0,%R,2013,Escherichia coli,aminoglycosides
Iceland,152.0,N,2014,Escherichia coli,aminoglycosides
Finland,3817.0,N,2014,Escherichia coli,aminoglycosides
Netherlands,6485.0,N,2014,Escherichia coli,aminoglycosides
Norway,3419.0,N,2014,Escherichia coli,aminoglycosides
Sweden,5606.0,N,2014,Escherichia coli,aminoglycosides
Denmark,4493.0,N,2014,Escherichia coli,aminoglycosides
Austria,4726.0,N,2014,Escherichia coli,aminoglycosides
Germany,6244.0,N,2014,Escherichia coli,aminoglycosides
France,10341.0,N,2014,Escherichia coli,aminoglycosides
Belgium,2045.0,N,2014,Escherichia coli,aminoglycosides
Luxembourg,367.0,N,2014,Escherichia coli,aminoglycosides
Estonia,411.0,N,2014,Escherichia coli,aminoglycosides
United Kingdom,7274.0,N,2014,Escherichia coli,aminoglycosides
Lithuania,584.0,N,2014,Escherichia coli,aminoglycosides
Poland,1068.0,N,2014,Escherichia coli,aminoglycosides
Czech Republic,2979.0,N,2014,Escherichia coli,aminoglycosides
Malta,279.0,N,2014,Escherichia coli,aminoglycosides
Ireland,2705.0,N,2014,Escherichia coli,aminoglycosides
Croatia,1077.0,N,2014,Escherichia coli,aminoglycosides
Slovenia,1216.0,N,2014,Escherichia coli,aminoglycosides
Hungary,1610.0,N,2014,Escherichia coli,aminoglycosides
Cyprus,153.0,N,2014,Escherichia coli,aminoglycosides
Portugal,4991.0,N,2014,Escherichia coli,aminoglycosides
Latvia,181.0,N,2014,Escherichia coli,aminoglycosides
Spain,5820.0,N,2014,Escherichia coli,aminoglycosides
Greece,1110.0,N,2014,Escherichia coli,aminoglycosides
Bulgaria,189.0,N,2014,Escherichia coli,aminoglycosides
Italy,3493.0,N,2014,Escherichia coli,aminoglycosides
Slovakia,888.0,N,2014,Escherichia coli,aminoglycosides
Iceland,5.3,%R,2014,Escherichia coli,aminoglycosides
Finland,4.6,%R,2014,Escherichia coli,aminoglycosides
Netherlands,6.3,%R,2014,Escherichia coli,aminoglycosides
Norway,5.9,%R,2014,Escherichia coli,aminoglycosides
Sweden,6.1,%R,2014,Escherichia coli,aminoglycosides
Denmark,7.3,%R,2014,Escherichia coli,aminoglycosides
Austria,7.1,%R,2014,Escherichia coli,aminoglycosides
Germany,6.9,%R,2014,Escherichia coli,aminoglycosides
France,7.7,%R,2014,Escherichia coli,aminoglycosides
Belgium,8.9,%R,2014,Escherichia coli,aminoglycosides
Luxembourg,7.9,%R,2014,Escherichia coli,aminoglycosides
Estonia,6.8,%R,2014,Escherichia coli,aminoglycosides
United Kingdom,8.9,%R,2014,Escherichia coli,aminoglycosides
Lithuania,10.6,%R,2014,Escherichia coli,aminoglycosides
Poland,9.8,%R,2014,Escherichia coli,aminoglycosides
Czech Republic,10.7,%R,2014,Escherichia coli,aminoglycosides
Malta,10.4,%R,2014,Escherichia coli,aminoglycosides
Ireland,12.1,%R,2014,Escherichia coli,aminoglycosides
Croatia,10.9,%R,2014,Escherichia coli,aminoglycosides
Slovenia,11.3,%R,2014,Escherichia coli,aminoglycosides
Hungary,14.7,%R,2014,Escherichia coli,aminoglycosides
Cyprus,17.6,%R,2014,Escherichia coli,aminoglycosides
Portugal,15.1,%R,2014,Escherichia coli,aminoglycosides
Latvia,8.3,%R,2014,Escherichia coli,aminoglycosides
Spain,15.1,%R,2014,Escherichia coli,aminoglycosides
Greece,15.6,%R,2014,Escherichia coli,aminoglycosides
Bulgaria,29.1,%R,2014,Escherichia coli,aminoglycosides
Italy,19.4,%R,2014,Escherichia coli,aminoglycosides
Slovakia,22.7,%R,2014,Escherichia coli,aminoglycosides
Iceland,173.0,N,2015,Escherichia coli,aminoglycosides
Finland,4135.0,N,2015,Escherichia coli,aminoglycosides
Netherlands,5378.0,N,2015,Escherichia coli,aminoglycosides
Norway,3301.0,N,2015,Escherichia coli,aminoglycosides
Sweden,5761.0,N,2015,Escherichia coli,aminoglycosides
Denmark,4591.0,N,2015,Escherichia coli,aminoglycosides
Austria,4884.0,N,2015,Escherichia coli,aminoglycosides
Germany,8723.0,N,2015,Escherichia coli,aminoglycosides
France,11055.0,N,2015,Escherichia coli,aminoglycosides
Belgium,2286.0,N,2015,Escherichia coli,aminoglycosides
Luxembourg,347.0,N,2015,Escherichia coli,aminoglycosides
Estonia,257.0,N,2015,Escherichia coli,aminoglycosides
United Kingdom,6052.0,N,2015,Escherichia coli,aminoglycosides
Lithuania,583.0,N,2015,Escherichia coli,aminoglycosides
Poland,1581.0,N,2015,Escherichia coli,aminoglycosides
Czech Republic,3172.0,N,2015,Escherichia coli,aminoglycosides
Malta,258.0,N,2015,Escherichia coli,aminoglycosides
Ireland,2646.0,N,2015,Escherichia coli,aminoglycosides
Croatia,1008.0,N,2015,Escherichia coli,aminoglycosides
Slovenia,1326.0,N,2015,Escherichia coli,aminoglycosides
Hungary,2020.0,N,2015,Escherichia coli,aminoglycosides
Cyprus,123.0,N,2015,Escherichia coli,aminoglycosides
Portugal,5372.0,N,2015,Escherichia coli,aminoglycosides
Latvia,191.0,N,2015,Escherichia coli,aminoglycosides
Spain,6489.0,N,2015,Escherichia coli,aminoglycosides
Greece,1200.0,N,2015,Escherichia coli,aminoglycosides
Bulgaria,182.0,N,2015,Escherichia coli,aminoglycosides
Italy,5408.0,N,2015,Escherichia coli,aminoglycosides
Slovakia,896.0,N,2015,Escherichia coli,aminoglycosides
Iceland,2.9,%R,2015,Escherichia coli,aminoglycosides
Finland,5.4,%R,2015,Escherichia coli,aminoglycosides
Netherlands,6.0,%R,2015,Escherichia coli,aminoglycosides
Norway,6.0,%R,2015,Escherichia coli,aminoglycosides
Sweden,6.4,%R,2015,Escherichia coli,aminoglycosides
Denmark,6.8,%R,2015,Escherichia coli,aminoglycosides
Austria,7.0,%R,2015,Escherichia coli,aminoglycosides
Germany,7.2,%R,2015,Escherichia coli,aminoglycosides
France,8.2,%R,2015,Escherichia coli,aminoglycosides
Belgium,8.4,%R,2015,Escherichia coli,aminoglycosides
Luxembourg,8.9,%R,2015,Escherichia coli,aminoglycosides
Estonia,9.3,%R,2015,Escherichia coli,aminoglycosides
United Kingdom,9.9,%R,2015,Escherichia coli,aminoglycosides
Lithuania,10.1,%R,2015,Escherichia coli,aminoglycosides
Poland,11.2,%R,2015,Escherichia coli,aminoglycosides
Czech Republic,11.3,%R,2015,Escherichia coli,aminoglycosides
Malta,11.6,%R,2015,Escherichia coli,aminoglycosides
Ireland,11.8,%R,2015,Escherichia coli,aminoglycosides
Croatia,12.7,%R,2015,Escherichia coli,aminoglycosides
Slovenia,12.9,%R,2015,Escherichia coli,aminoglycosides
Hungary,13.6,%R,2015,Escherichia coli,aminoglycosides
Cyprus,13.8,%R,2015,Escherichia coli,aminoglycosides
Portugal,13.8,%R,2015,Escherichia coli,aminoglycosides
Latvia,14.1,%R,2015,Escherichia coli,aminoglycosides
Spain,14.7,%R,2015,Escherichia coli,aminoglycosides
Greece,16.1,%R,2015,Escherichia coli,aminoglycosides
Bulgaria,19.8,%R,2015,Escherichia coli,aminoglycosides
Italy,20.2,%R,2015,Escherichia coli,aminoglycosides
Slovakia,24.2,%R,2015,Escherichia coli,aminoglycosides
Belgium,4119.0,N,2012,Escherichia coli,carbapenems
Bulgaria,191.0,N,2012,Escherichia coli,carbapenems
Croatia,900.0,N,2012,Escherichia coli,carbapenems
Cyprus,176.0,N,2012,Escherichia coli,carbapenems
Czech Republic,1729.0,N,2012,Escherichia coli,carbapenems
Estonia,252.0,N,2012,Escherichia coli,carbapenems
Finland,3161.0,N,2012,Escherichia coli,carbapenems
Hungary,1307.0,N,2012,Escherichia coli,carbapenems
Iceland,138.0,N,2012,Escherichia coli,carbapenems
Latvia,153.0,N,2012,Escherichia coli,carbapenems
Lithuania,450.0,N,2012,Escherichia coli,carbapenems
Luxembourg,333.0,N,2012,Escherichia coli,carbapenems
Malta,216.0,N,2012,Escherichia coli,carbapenems
Slovakia,659.0,N,2012,Escherichia coli,carbapenems
Slovenia,1168.0,N,2012,Escherichia coli,carbapenems
Austria,3340.0,N,2012,Escherichia coli,carbapenems
Denmark,2865.0,N,2012,Escherichia coli,carbapenems
France,9091.0,N,2012,Escherichia coli,carbapenems
Germany,4184.0,N,2012,Escherichia coli,carbapenems
Ireland,2369.0,N,2012,Escherichia coli,carbapenems
Netherlands,4701.0,N,2012,Escherichia coli,carbapenems
Norway,3023.0,N,2012,Escherichia coli,carbapenems
Spain,5670.0,N,2012,Escherichia coli,carbapenems
Poland,970.0,N,2012,Escherichia coli,carbapenems
Portugal,2041.0,N,2012,Escherichia coli,carbapenems
Sweden,5529.0,N,2012,Escherichia coli,carbapenems
Italy,3021.0,N,2012,Escherichia coli,carbapenems
United Kingdom,5182.0,N,2012,Escherichia coli,carbapenems
Greece,1396.0,N,2012,Escherichia coli,carbapenems
Belgium,0.0,%R,2012,Escherichia coli,carbapenems
Bulgaria,2.6,%R,2012,Escherichia coli,carbapenems
Croatia,0.0,%R,2012,Escherichia coli,carbapenems
Cyprus,,%R,2012,Escherichia coli,carbapenems
Czech Republic,0.1,%R,2012,Escherichia coli,carbapenems
Estonia,,%R,2012,Escherichia coli,carbapenems
Finland,0.0,%R,2012,Escherichia coli,carbapenems
Hungary,0.0,%R,2012,Escherichia coli,carbapenems
Iceland,0.0,%R,2012,Escherichia coli,carbapenems
Latvia,,%R,2012,Escherichia coli,carbapenems
Lithuania,,%R,2012,Escherichia coli,carbapenems
Luxembourg,,%R,2012,Escherichia coli,carbapenems
Malta,,%R,2012,Escherichia coli,carbapenems
Slovakia,0.9,%R,2012,Escherichia coli,carbapenems
Slovenia,0.0,%R,2012,Escherichia coli,carbapenems
Austria,0.1,%R,2012,Escherichia coli,carbapenems
Denmark,0.0,%R,2012,Escherichia coli,carbapenems
France,0.0,%R,2012,Escherichia coli,carbapenems
Germany,0.0,%R,2012,Escherichia coli,carbapenems
Ireland,0.0,%R,2012,Escherichia coli,carbapenems
Netherlands,0.0,%R,2012,Escherichia coli,carbapenems
Norway,0.0,%R,2012,Escherichia coli,carbapenems
Spain,0.1,%R,2012,Escherichia coli,carbapenems
Poland,0.0,%R,2012,Escherichia coli,carbapenems
Portugal,0.1,%R,2012,Escherichia coli,carbapenems
Sweden,,%R,2012,Escherichia coli,carbapenems
Italy,0.3,%R,2012,Escherichia coli,carbapenems
United Kingdom,0.2,%R,2012,Escherichia coli,carbapenems
Greece,1.4,%R,2012,Escherichia coli,carbapenems
Belgium,4246.0,N,2013,Escherichia coli,carbapenems
Bulgaria,176.0,N,2013,Escherichia coli,carbapenems
Croatia,1038.0,N,2013,Escherichia coli,carbapenems
Cyprus,162.0,N,2013,Escherichia coli,carbapenems
Czech Republic,1733.0,N,2013,Escherichia coli,carbapenems
Estonia,283.0,N,2013,Escherichia coli,carbapenems
Finland,3721.0,N,2013,Escherichia coli,carbapenems
Hungary,1355.0,N,2013,Escherichia coli,carbapenems
Iceland,121.0,N,2013,Escherichia coli,carbapenems
Latvia,135.0,N,2013,Escherichia coli,carbapenems
Lithuania,433.0,N,2013,Escherichia coli,carbapenems
Luxembourg,295.0,N,2013,Escherichia coli,carbapenems
Malta,248.0,N,2013,Escherichia coli,carbapenems
Slovakia,588.0,N,2013,Escherichia coli,carbapenems
